"No.","Time","Source","Destination","Protocol","Length","Info"
"6661","16.812867","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5228872 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6662","16.812869","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5230266 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6663","16.812878","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5228872 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6664","16.812916","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5231660 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6665","16.812988","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5231660 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6666","16.812991","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5233054 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6667","16.813058","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5234448 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6668","16.813129","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5234448 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6669","16.813135","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5235842 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6670","16.813298","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5237236 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6671","16.813304","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6672","16.813306","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5240024 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6673","16.813308","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5241418 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6674","16.813370","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5237236 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6675","16.813550","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5242812 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6676","16.813556","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5244206 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6677","16.813602","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5245600 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6678","16.813605","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [PSH, ACK] Seq=5246994 Ack=5776 Win=489 Len=1394 TSval=657514834 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6679","16.813627","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5242812 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6680","16.813740","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5248388 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6681","16.813747","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5249782 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6682","16.813765","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5248388 Win=49988 Len=0 TSval=3071744727 TSecr=657514834"
"6683","16.813930","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5251176 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6684","16.813935","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5252570 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6685","16.813936","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5253964 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6686","16.813938","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6687","16.813991","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5256752 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6688","16.813996","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5258146 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6689","16.814013","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5251176 Win=49988 Len=0 TSval=3071744728 TSecr=657514835"
"6690","16.814126","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5259540 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6691","16.814130","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5260934 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6692","16.814158","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5259540 Win=49988 Len=0 TSval=3071744728 TSecr=657514835"
"6693","16.814229","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5262328 Win=49988 Len=0 TSval=3071744728 TSecr=657514835"
"6694","16.814326","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5262328 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6695","16.814329","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5263722 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6696","16.814381","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5265116 Win=49988 Len=0 TSval=3071744728 TSecr=657514835"
"6697","16.814456","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5265116 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6698","16.814458","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5266510 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6699","16.814512","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5267904 Win=49988 Len=0 TSval=3071744728 TSecr=657514835"
"6700","16.814660","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5267904 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6701","16.814668","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5269298 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6702","16.814670","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5270692 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6703","16.814672","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6704","16.814752","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5273480 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6705","16.814756","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5274874 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6706","16.815024","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5276268 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6707","16.815026","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5277662 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6708","16.815026","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5279056 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6709","16.815027","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [PSH, ACK] Seq=5280450 Ack=5776 Win=489 Len=1394 TSval=657514835 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6710","16.815036","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5276268 Win=49988 Len=0 TSval=3071744729 TSecr=657514835"
